Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
AIAIDS,UR/X/F,R1_Upgrade,Y,0.7928047471374046,0.8843042238340107,0.8525378465959438,0.03988564332008394,61.8,6.4,1169627.2,0.021432353355071584
AIAIDS,UR/X/F,R2,Y,0.8390200525453035,0.9195432454547242,0.8812044503070879,0.03290564102239683,26.666666666666668,2.5,1220539.8333333333,0.011212836691037228
AIAIDS,UR/X/OP,INTERNAL,AI,0.7496357858505998,0.9253820762131453,0.8671507361990155,0.06490771090776734,41.5,2.3333333333333335,1160243.5,0.03649116339167466
AIAIDS,UR/X/OP,INTERNAL,Y,0.7848239844601963,0.8869197608573774,0.8611327442766914,0.03008431810668248,42.166666666666664,5.333333333333333,1220539.8333333333,0.014555135139727596
AIAIDS,UR/X/OP,R1,AI,0.9222098300555439,0.9443131629343302,0.9348800146840593,0.009448824795766699,75.6,3.0,1169627.2,0.004866448653406457
AIAIDS,UR/X/OP,R1,Y,0.8236649741003271,0.9125587410165994,0.8815594967075565,0.035551505547997984,75.6,19.6,1169627.2,0.019270462618573278
AIAIDS,UR/X/OP,R1_Upgrade,AI,0.9129751823200655,0.9394971063037632,0.921426445285543,0.01077865140481628,61.8,2.8,1169627.2,0.005228536066267852
AIAIDS,UR/X/OP,R1_Upgrade,Y,0.7724694571292258,0.8807086879392809,0.8477500299362684,0.04697323889944695,61.8,16.2,1169627.2,0.025579183653916412
AIAIDS,UR/X/OP,R2,AI,0.892184353159825,0.9397838659402089,0.9240845520526741,0.018404682364476264,25.8,2.0,1169627.2,-0.001647470498990036
AIAIDS,UR/X/OP,R2,Y,0.8708382547773561,0.9122158703653217,0.8946603786522044,0.015283377998426625,27.285714285714285,4.142857142857143,1256906.0,0.001955256918669515
AIML,EWS,INTERNAL,Y,0.7964820321019629,0.9067726118108362,0.8669624205455484,0.03694539096055815,37.22222222222222,2.0,1195251.5555555555,0.02413378223374046
AIML,EWS,R1,Y,0.8221261160714286,0.9092953904643455,0.879755140280837,0.036018192387682016,72.6,6.8,1169627.2,0.02070858149140032
